trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.02, 'e': 0.44043165450599925}",30,20,3.413384919017412,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.02, 'e': 0.43171052342907973}",30,0,-74.14440231167218,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.02, 'e': 0.4231620823177488}",30,18,8.83205579727279,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.4147829116815814}",30,6,-116.04734990405538,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 2}",1
46,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,3,-32.64438761877125,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,0,-85.48096129837252,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
48,False,"{'a': 0.02, 'e': 0.3906278353585211}",20,11,12.767451676360047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,7,-3.7573357277963106,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,8,2.8102566028010116,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.36787944117144233}",25,0,7.656965943874157,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.02, 'e': 0.3605949401730783}",20,2,1.9756645059979103,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.35345468195878016}",20,0,19.855188789194077,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.3464558103300574}",25,11,-38.45870381827872,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
